"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 28 21:50:20 CEST 2023","Thu Sep 28 21:50:28 CEST 2023","8107","Tests","Password recovery form","","","","Phone tab by default","
Check that Phone tab is default set on Password Recovery Form.

Expected result:
The default tab should be 'Телефон' (Phone) and have the correct color.
"
"passed","Thu Sep 28 21:59:44 CEST 2023","Thu Sep 28 21:59:59 CEST 2023","14774","Tests","Register Form","","","","User Registration form password Field Validation","
This test case ensures that the system accurately evaluates user-entered passwords 
and displays appropriate error messages when the entered password does not meet the specified criteria:
    1) The system should display an error message for passwords with non-Latin characters.
    2) The system should display an error message for passwords without uppercase letters.
    3) The system should display an error message for passwords with less than 8 characters.

Expected result:
The password validation during user registration should follow these criteria:
The system should display an error message for passwords with non-Latin characters.
The system should display an error message for passwords without uppercase letters.
The system should display an error message for passwords with less than 8 characters.             
"
"passed","Thu Sep 28 21:41:48 CEST 2023","Thu Sep 28 21:41:56 CEST 2023","8015","Tests","Authorization form","","","","Check tabs names on Authorization form","
Check tabs names on the authorization form are match the requirements.

Expected result:
All tabs name are match the requirements.
"
"failed","Thu Sep 28 21:43:30 CEST 2023","Thu Sep 28 21:43:42 CEST 2023","11062","Tests","Authorization form","","","","Auto Switch Tab in the Authorization Field (Phone)","
Verify that the authentication selection tab changes automatically when entering a phone number in 
the authorization field.

Expected result:
The Phone tab's color and name match the expected values after the tab switch.
"
"passed","Thu Sep 28 21:47:14 CEST 2023","Thu Sep 28 21:47:27 CEST 2023","13238","Tests","Base Page","","","","Loading the Base Page Split into Two Blocks (Different Window Size)","
Verify that the base page loads correctly and is vertically divided into two distinct blocks when the browser window is 
resized to different dimensions.

Expected result:
Both side blocks remain displayed after resizing the window.
"
"passed","Thu Sep 28 21:47:47 CEST 2023","Thu Sep 28 21:47:55 CEST 2023","8049","Tests","Base Page","","","","Presence of slogan and product logo on the Base page","
Confirm the presence of the product logo and slogan on the base page.

Expected result:
Both the product logo and slogan are displayed on the base page.
"
"passed","Thu Sep 28 21:43:02 CEST 2023","Thu Sep 28 21:43:13 CEST 2023","10719","Tests","Authorization form","","","","Auto Switch Tab in the Authorization Field (Phone)","
Verify that the authentication selection tab changes automatically when entering a phone number in 
the authorization field.

Expected result:
The Phone tab's color and name match the expected values after the tab switch.
"
"failed","Thu Sep 28 21:45:52 CEST 2023","Thu Sep 28 21:46:03 CEST 2023","10713","Tests","Authorization form","","","","Auto Switch Tab in the Authorization Field (Personal account)","
Verify that the authentication selection tab changes automatically when entering an account number in 
the authorization field.

Expected result:
Authentication selection tab changes automatically when entering an account number in 
the authorization field.
"
"passed","Thu Sep 28 21:50:55 CEST 2023","Thu Sep 28 21:51:04 CEST 2023","8889","Tests","Password recovery form","","","","Error message with missing Captcha or wrong data","
Verify that an error message appears if the 'Captcha' field is left empty 
when attempting to proceed in the password recovery form. 
This test case checks if an error message is displayed when the 'Captcha' field is empty.

Expected result:
An error message should appear if the 'Captcha' field is left empty
when attempting to proceed in the password recovery form. Or wrong value in the login field.
"
"passed","Thu Sep 28 21:50:43 CEST 2023","Thu Sep 28 21:50:52 CEST 2023","9267","Tests","Password recovery form","","","","Error message with missing Captcha or wrong data","
Verify that an error message appears if the 'Captcha' field is left empty 
when attempting to proceed in the password recovery form. 
This test case checks if an error message is displayed when the 'Captcha' field is empty.

Expected result:
An error message should appear if the 'Captcha' field is left empty
when attempting to proceed in the password recovery form. Or wrong value in the login field.
"
