"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Registration link","","0","0","2","0","0"
"","Phone Field","","0","0","9","0","0"
"","incorrect verification code error","","0","0","1","0","0"
"","Confirm Password","","0","0","3","0","0"
"","Password recovery form","","0","0","1","0","0"
"","tabs names","","1","0","3","0","0"
"","Tabs Labels","","0","0","1","0","0"
"","Continue button's name","","1","0","0","0","0"
"","Name Field","","0","0","5","0","0"
"","Auto Switch Tab","","6","0","10","0","0"
"","Error message","","0","0","5","0","0"
"","Form elements","","0","0","1","0","0"
"","LastName Field","","0","0","5","0","0"
"","Email masked","","1","0","0","0","0"
"","Password Field","","0","0","12","0","0"
"","Confirm form elements","","0","0","1","0","0"
"","Tab's name","","1","0","3","0","0"
"","Return button's name","","0","0","1","0","0"
"","Two Blocks","","1","0","3","0","0"
"","Next Button Name","","1","0","0","0","0"
"","Continue Back buttons","","0","0","1","0","0"
"","Registration Form","","0","0","1","0","0"
"","Resend Code Button","","0","0","1","0","0"
"","logo and slogan","","0","0","1","0","0"
"","User agreement","","0","0","1","0","0"
"","Default tab","","0","0","1","0","0"
"","Default auth method","","0","0","1","0","0"
"","Return button's function","","0","0","1","0","0"
"","Change Email button","","0","0","1","0","0"
"","Captcha","","0","0","1","0","0"
"","Authorization form","","0","0","1","0","0"
